Prediction,Material,Plant,UnitofMeasure,DebitCredit,DayOfWeek,Month,DayOfYear,WeekOfYear,IsWeekend,Quantity,Quantity_pred
193,23,1,1,1,0.350293,0.129543,0.232967,0.220572,-0.374206,8.756431,3.174533
194,22,1,1,2,-0.853545,-1.006939,-0.905187,-0.893474,-0.374206,6.014302,3.047104
195,15,1,1,2,-1.455465,0.981905,1.109905,1.138021,-0.374206,6.168103,2.836675
196,22,1,1,2,-0.251626,0.697784,0.606132,0.613764,-0.374206,4.920565,3.366671
197,14,1,1,2,-0.251626,-1.575181,-1.548897,-1.548796,-0.374206,8.938138,3.409375
198,2,1,1,1,0.952212,-1.575181,-1.474264,-1.483263,-0.374206,8.643121,3.647381
199,22,1,1,2,-1.455465,1.550146,1.511058,1.531214,-0.374206,9.208359,3.39814
200,14,1,1,2,-0.251626,0.697784,0.615461,0.613764,-0.374206,9.071652,3.038488
201,1,1,1,2,-0.251626,-1.575181,-1.492922,-1.483263,-0.374206,9.700796,3.79995
202,7,1,1,2,-0.251626,-1.575181,-1.62353,-1.614328,-0.374206,10.037397,3.836989
203,22,1,1,2,1.554131,0.413664,0.438208,0.417168,2.672325,5.428468,3.63594
204,22,1,1,1,-0.853545,-0.438698,-0.578667,-0.565814,-0.374206,9.375397,3.167576
205,22,1,1,1,-0.251626,0.697784,0.671436,0.679296,-0.374206,8.602306,3.798428
206,23,1,1,1,0.350293,0.697784,0.820702,0.810361,-0.374206,8.420021,3.769221
207,23,1,1,1,1.554131,-1.575181,-1.455606,-1.483263,2.672325,8.196933,3.076438
208,22,1,1,2,-1.455465,0.981905,0.988626,1.006957,-0.374206,8.196933,3.516829
209,23,1,1,1,-1.455465,1.266025,1.38045,1.40015,-0.374206,8.420021,3.739985
210,22,1,1,1,0.350293,-0.154578,-0.168186,-0.172621,-0.374206,9.295362,3.207123
211,1,1,1,2,-0.853545,0.413664,0.531499,0.548232,-0.374206,7.686291,3.954184
212,23,1,1,1,1.554131,-1.006939,-1.063782,-1.090071,2.672325,8.889942,3.048847
213,12,1,1,2,0.952212,-1.575181,-1.604872,-1.614328,-0.374206,9.692828,3.603544
